Posição,Número,Nome,Nacionalidade,Altura,Nascimento,Team,Valor de Mercado,player_id
Defender,18,Paulinho,BRA,172.0,23/05/2005,Vasco Da Gama,0.365,https://www.sofascore.com/football/player/paulinho/1464309
Defender,14,Lyncon,BRA,186.0,07/05/2005,Vasco Da Gama,0.094,https://www.sofascore.com/football/player/lyncon/1463561
Defender,-,Renan,BRA,,29/02/2008,Vasco Da Gama,0.052,https://www.sofascore.com/football/player/renan/2443056
Goalkeeper,1,Léo Jardim,BRA,188.0,20/03/1995,Vasco Da Gama,6.4,https://www.sofascore.com/football/player/leo-jardim/595598
Goalkeeper,13,Daniel Fuzato,BRA,190.0,04/07/1997,Vasco Da Gama,0.875,https://www.sofascore.com/football/player/daniel-fuzato/863276
Goalkeeper,-,Pablo,BRA,188.0,11/02/2003,Vasco Da Gama,0.052,https://www.sofascore.com/football/player/pablo/1652393
Forward,10,Neymar,BRA,175.0,05/02/1992,Santos,10.6,https://www.sofascore.com/football/player/neymar/124712
Forward,9,Gabriel Barbosa,BRA,178.0,30/08/1996,Santos,0.245,https://www.sofascore.com/football/player/gabriel-barbosa/358554
Forward,9,Tiquinho Soares,BRA,187.0,17/01/1991,Santos,0.245,https://www.sofascore.com/football/player/tiquinho-soares/789100
Forward,14,Billal Brahimi,ALG,183.0,14/03/2000,Santos,0.83,https://www.sofascore.com/football/player/billal-brahimi/948250
Forward,9,Alfredo Morelos,COL,177.0,21/06/1996,Santos,0.245,https://www.sofascore.com/football/player/alfredo-morelos/831085
Forward,19,Lautaro Díaz,ARG,181.0,21/05/1998,Santos,1.5,https://www.sofascore.com/football/player/lautaro-diaz/992093
Forward,9,Enzo Monteiro,BOL,182.0,27/05/2004,Santos,0.245,https://www.sofascore.com/football/player/enzo-monteiro/1525129
Midfielder,7,Robinho Júnior,BRA,170.0,17/12/2007,Santos,5.5,https://www.sofascore.com/football/player/robson-junior/2191860
Midfielder,30,Miguelito,BOL,177.0,25/04/2004,Santos,3.2,https://www.sofascore.com/football/player/miguel-terceros/1159656
Midfielder,32,Benjamín Rollheiser,ARG,175.0,24/03/2000,Santos,6.3,https://www.sofascore.com/football/player/benjamin-rollheiser/922454
Midfielder,11,Guilherme,BRA,178.0,13/04/1995,Santos,2.6,https://www.sofascore.com/football/player/guilherme/844605
Midfielder,29,Victor Hugo,BRA,184.0,11/05/2004,Santos,3.6,https://www.sofascore.com/football/player/victor-hugo/1170954
Midfielder,8,Tomás Rincón,VEN,175.0,13/01/1988,Santos,0.16,https://www.sofascore.com/football/player/tomas-rincon/46798
Midfielder,22,Álvaro Barreal,ARG,172.0,17/08/2000,Santos,7.7,https://www.sofascore.com/football/player/alvaro-barreal/949687
Midfielder,25,Gabriel Menino,BRA,176.0,29/09/2000,Santos,6.2,https://www.sofascore.com/football/player/gabriel-menino/974556
Midfielder,6,Zé Rafael,BRA,175.0,16/06/1993,Santos,2.6,https://www.sofascore.com/football/player/ze-rafael/329069
Midfielder,15,Willian Arão,BRA,181.0,12/03/1992,Santos,1.1,https://www.sofascore.com/football/player/willian-arao/242213
Midfielder,16,Thaciano,BRA,182.0,12/05/1995,Santos,1.2,https://www.sofascore.com/football/player/thaciano/872039
Midfielder,49,Gabriel Bontempo,BRA,181.0,16/01/2005,Santos,4.9,https://www.sofascore.com/football/player/gabriel-bontempo/1656036
Midfielder,5,João Schmidt,BRA,183.0,19/05/1993,Santos,0.825,https://www.sofascore.com/football/player/joao-schmidt/244591
Midfielder,17,Gustavo Caballero,PAR,186.0,21/09/2001,Santos,0.44,https://www.sofascore.com/football/player/caballero-gustavo/988656
Midfielder,47,Mateus Xavier de Sousa,BRA,172.0,28/06/2007,Santos,0.0,https://www.sofascore.com/football/player/mateus-xavier/1884605
Midfielder,35,Pedro Padula,BRA,,13/03/2007,Santos,0.0,https://www.sofascore.com/football/player/pedro-padula-tobias/1888795
Midfielder,17,Vinicius Balieiro,BRA,177.0,28/05/1999,Santos,0.44,https://www.sofascore.com/football/player/vinicius-balieiro/1065976
Midfielder,-,Ed Carlos,BRA,187.0,19/03/2001,Santos,0.435,https://www.sofascore.com/football/player/ed-carlos/1066714
Defender,12,Mayke,BRA,178.0,10/11/1992,Santos,2.2,https://www.sofascore.com/football/player/mayke/273329
Defender,33,Souza,BRA,179.0,16/06/2006,Santos,5.2,https://www.sofascore.com/football/player/souza/1482340
Defender,18,Igor Vinícius,BRA,173.0,02/04/1997,Santos,1.9,https://www.sofascore.com/football/player/igor-vinicius/840119
Defender,44,João Pedro Chermont,BRA,181.0,18/01/2006,Santos,3.2,https://www.sofascore.com/football/player/joao-pedro-chermont/1482361
Defender,27,Zé Ivaldo,BRA,185.0,21/02/1997,Santos,2.4,https://www.sofascore.com/football/player/ze-ivaldo/844602
Defender,31,Gonzalo Escobar,ARG,171.0,16/03/1997,Santos,1.0,https://www.sofascore.com/football/player/gonzalo-escobar/840500
Defender,14,Luan Peres,BRA,190.0,19/07/1994,Santos,0.83,https://www.sofascore.com/football/player/luan-peres/842098
Defender,4,Alexis Duarte,PAR,185.0,12/03/2000,Santos,1.9,https://www.sofascore.com/football/player/alexis-duarte/883205
Defender,13,João Basso,BRA,189.0,13/01/1997,Santos,0.91,https://www.sofascore.com/football/player/joao-basso/850955
Defender,3,Vinicius Rodrigues Lira,BRA,187.0,12/10/2007,Santos,0.87,https://www.sofascore.com/football/player/vinicius-lira/2039241
Defender,98,Adonis Frías,ARG,189.0,17/03/1998,Santos,2.8,https://www.sofascore.com/football/player/adonis-frias/940699
Defender,23,Nathan,BRA,183.0,05/09/2001,Santos,1.4,https://www.sofascore.com/football/player/nathan/1016912
Defender,3,Kevyson,BRA,174.0,29/03/2004,Santos,0.87,https://www.sofascore.com/football/player/kevyson/1389980
Defender,2,Alex Nascimento,BRA,189.0,10/05/1999,Santos,0.42,https://www.sofascore.com/football/player/alex-nascimento/931556
Goalkeeper,77,Gabriel Brazão,BRA,191.0,05/10/2000,Santos,11.7,https://www.sofascore.com/football/player/gabriel-brazao/905448
Goalkeeper,1,Diogenes,BRA,190.0,06/01/2001,Santos,0.185,https://www.sofascore.com/football/player/diogenes/1128754
Forward,14,Germán Cano,ARG,176.0,02/01/1988,Fluminense,0.62,https://www.sofascore.com/football/player/german-cano/33238
Forward,99,John Kennedy,BRA,173.0,18/05/2002,Fluminense,5.8,https://www.sofascore.com/football/player/john-kennedy/1087399
